M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9
M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16
F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7
F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6
I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8
M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17
F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7
I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7
M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9
F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9
M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9
F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10
M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10
I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9
I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9
F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10
I,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9
I,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7
I,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,7
I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
M,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8
I,0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,9
F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
I,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9
M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
F,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
M,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9
M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,8
M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9
F,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,11
F,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10
F,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,8
M,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,10
F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10
M,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9
I,0.62,0.485,0.18,1.154,0.4935,0.256,0.315,12
F,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,12
M,0.62,0.515,0.175,1.221,0.535,0.241,0.395,13
F,0.62,0.54,0.165,1.139,0.4995,0.2435,0.357,11
I,0.62,0.49,0.16,1.066,0.446,0.246,0.305,11
F,0.62,0.48,0.18,1.2215,0.582,0.2695,0.313,12
I,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,9
I,0.62,0.45,0.135,0.924,0.358,0.2265,0.2965,10
M,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309,12
F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,9
M,0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,11
M,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10
M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,9
I,0.625,0.47,0.155,1.1955,0.643,0.2055,0.3145,12
F,0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705,10
I,0.625,0.485,0.15,1.044,0.438,0.2865,0.278,9
M,0.63,0.505,0.17,1.0915,0.4615,0.266,0.3,9
F,0.63,0.5,0.18,1.1965,0.514,0.2325,0.3995,8
M,0.63,0.49,0.17,1.1745,0.5255,0.273,0.339,11
M,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10
M,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,11
I,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,13
M,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12
F,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,10
F,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,9
F,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10
M,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685,10
M,0.64,0.525,0.185,1.707,0.763,0.4205,0.4435,11
M,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10
M,0.645,0.5,0.175,1.286,0.5645,0.288,0.386,12
M,0.645,0.5,0.19,1.5595,0.741,0.3715,0.3845,14
M,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,9
M,0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745,10
M,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9
F,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,9
M,0.645,0.5,0.175,1.3375,0.554,0.308,0.415,10
F,0.645,0.51,0.19,1.363,0.573,0.362,0.36,10
M,0.645,0.485,0.15,1.2215,0.5695,0.2735,0.33,9
F,0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12
F,0.65,0.495,0.155,1.337,0.615,0.3195,0.335,9
M,0.65,0.505,0.19,1.274,0.59,0.23,0.391,11
M,0.65,0.525,0.185,1.488,0.665,0.337,0.378,11
M,0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665,9
M,0.655,0.55,0.18,1.274,0.586,0.281,0.365,10
F,0.655,0.51,0.15,1.043,0.4795,0.223,0.305,9
F,0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12
F,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363,11
M,0.66,0.5,0.165,1.3195,0.667,0.269,0.341,9
F,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,12
M,0.66,0.53,0.195,1.5505,0.6505,0.3295,0.495,10
M,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,14
M,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11
M,0.665,0.505,0.16,1.289,0.6145,0.253,0.3665,11
F,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,11
M,0.665,0.52,0.175,1.3725,0.606,0.32,0.395,12
M,0.665,0.5,0.175,1.2975,0.6075,0.314,0.315,9
M,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,12
M,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,11
F,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13
F,0.67,0.55,0.155,1.566,0.858,0.339,0.354,10
F,0.67,0.54,0.195,1.619,0.74,0.3305,0.465,11
M,0.675,0.525,0.16,1.2835,0.572,0.2755,0.3545,13
F,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,10
M,0.68,0.52,0.195,1.4535,0.592,0.391,0.4125,10
F,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11
M,0.685,0.52,0.15,1.3735,0.7185,0.293,0.32,11
F,0.685,0.565,0.175,1.638,0.7775,0.375,0.438,11
F,0.69,0.55,0.2,1.569,0.687,0.3675,0.46,12
M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10
F,0.7,0.535,0.175,1.773,0.6805,0.48,0.512,15
F,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,11
M,0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,11
F,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,12
F,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10
M,0.71,0.56,0.22,2.015,0.9215,0.454,0.566,11
M,0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10
